video,codec,quality,mos,ci
BlueSpin,VPCC,r01,1.4390243902439024,0.1817177182538251
BlueSpin,VPCC,r02,2.097560975609756,0.20309627334251043
BlueSpin,VPCC,r03,2.658536585365854,0.23321250288934842
BlueSpin,VPCC,r04,3.268292682926829,0.25631987104298637
BlueSpin,VPCC,r05,3.341463414634146,0.23321250288934833
BlueSpin,GPCC-Oct-Pred,r03,1.5365853658536586,0.3068399896396658
BlueSpin,GPCC-Oct-Pred,r04,1.975609756097561,0.3387000103892353
BlueSpin,GPCC-Oct-Pred,r05,2.682926829268293,0.3017710085026899
BlueSpin,GPCC-Tri-RAHT,r01,1.3658536585365855,0.14926763752366984
BlueSpin,GPCC-Tri-RAHT,r02,2.317073170731707,0.2775097855555223
BlueSpin,GPCC-Tri-RAHT,r03,3.1707317073170733,0.23613385898035502
BlueSpin,GPCC-Tri-RAHT,r04,3.6097560975609757,0.3051596850049008
CasualSquat,VPCC,r01,1.853658536585366,0.24257831112095304
CasualSquat,VPCC,r02,2.5853658536585367,0.2267538191276933
CasualSquat,VPCC,r03,2.7804878048780486,0.32475003314803375
CasualSquat,VPCC,r04,3.4146341463414633,0.26486985825849024
CasualSquat,VPCC,r05,3.6097560975609757,0.27273372733751183
CasualSquat,GPCC-Oct-Pred,r03,1.4390243902439024,0.27419611705557057
CasualSquat,GPCC-Oct-Pred,r04,2.097560975609756,0.3045975236094843
CasualSquat,GPCC-Oct-Pred,r05,3.5121951219512195,0.2282605055972552
CasualSquat,GPCC-Tri-RAHT,r01,1.3658536585365855,0.16421179751502993
CasualSquat,GPCC-Tri-RAHT,r02,2.4390243902439024,0.2655161459819961
CasualSquat,GPCC-Tri-RAHT,r03,3.4634146341463414,0.22801008258648253
CasualSquat,GPCC-Tri-RAHT,r04,3.6341463414634148,0.25385627644963454
FlowerDance,VPCC,r01,1.7317073170731707,0.19388593374501434
FlowerDance,VPCC,r02,2.3902439024390243,0.25497904299171964
FlowerDance,VPCC,r03,2.902439024390244,0.2721045829532319
FlowerDance,VPCC,r04,3.3658536585365852,0.24445515388646194
FlowerDance,VPCC,r05,3.8048780487804876,0.21880405435451833
FlowerDance,GPCC-Oct-Pred,r03,1.3902439024390243,0.25497904299171964
FlowerDance,GPCC-Oct-Pred,r04,1.975609756097561,0.3317122400612443
FlowerDance,GPCC-Oct-Pred,r05,3.317073170731707,0.2775097855555223
FlowerDance,GPCC-Tri-RAHT,r01,1.3902439024390243,0.2039384176874864
FlowerDance,GPCC-Tri-RAHT,r02,2.5609756097560976,0.2741961170555706
FlowerDance,GPCC-Tri-RAHT,r03,3.4390243902439024,0.25654266106422363
FlowerDance,GPCC-Tri-RAHT,r04,3.902439024390244,0.2633556857805291
ReadyForWinter,VPCC,r01,1.6585365853658536,0.21217610101393444
ReadyForWinter,VPCC,r02,2.073170731707317,0.23099724157256607
ReadyForWinter,VPCC,r03,2.731707317073171,0.25631987104298637
ReadyForWinter,VPCC,r04,3.3902439024390243,0.21511756097560972
ReadyForWinter,VPCC,r05,3.658536585365854,0.26161447207211774
ReadyForWinter,GPCC-Oct-Pred,r03,1.4634146341463414,0.2477054125842502
ReadyForWinter,GPCC-Oct-Pred,r04,2.097560975609756,0.3268542670406627
ReadyForWinter,GPCC-Oct-Pred,r05,3.0,0.3556494684980238
ReadyForWinter,GPCC-Tri-RAHT,r01,1.2926829268292683,0.17102844070948245
ReadyForWinter,GPCC-Tri-RAHT,r02,2.268292682926829,0.25631987104298637
ReadyForWinter,GPCC-Tri-RAHT,r03,3.024390243902439,0.21082550739741
ReadyForWinter,GPCC-Tri-RAHT,r04,3.5121951219512195,0.29136860886864796
