ID,objects,rate
1,BlueSpin_GPCC_TRISOUP_r02_d200,1
1,BlueSpin_GPCC_TRISOUP_r03_d200,3
1,ReadyForWinter_GPCC_OCTREE_r03_d200,2
1,BlueSpin_VPCC_r01_d200,1
1,FlowerDance_VPCC_r03_d200,2
1,FlowerDance_VPCC_raw_d200,4
1,ReadyForWinter_VPCC_r03_d200,3
1,ReadyForWinter_GPCC_OCTREE_r04_d200,2
1,BlueSpin_VPCC_r05_d200,3
1,FlowerDance_GPCC_OCTREE_r04_d200,1
1,ReadyForWinter_VPCC_r05_d200,3
1,FlowerDance_VPCC_r01_d200,1
1,ReadyForWinter_GPCC_TRISOUP_r04_d200,2
1,ReadyForWinter_GPCC_TRISOUP_r03_d200,2
1,FlowerDance_VPCC_r05_d200,3
1,FlowerDance_GPCC_OCTREE_r03_d200,1
1,FlowerDance_GPCC_TRISOUP_r03_d200,3
1,CasualSquat_GPCC_TRISOUP_r04_d200,3
1,BlueSpin_GPCC_TRISOUP_r01_d200,1
1,BlueSpin_GPCC_TRISOUP_r04_d200,3
1,CasualSquat_GPCC_TRISOUP_r03_d200,4
1,FlowerDance_GPCC_TRISOUP_r01_d200,1
1,BlueSpin_GPCC_OCTREE_r04_d200,1
1,BlueSpin_VPCC_r03_d200,2
1,BlueSpin_VPCC_r02_d200,2
1,CasualSquat_VPCC_r05_d200,3
1,BlueSpin_VPCC_r04_d200,3
1,ReadyForWinter_GPCC_OCTREE_r05_d200,3
1,CasualSquat_GPCC_TRISOUP_r02_d200,2
1,ReadyForWinter_GPCC_TRISOUP_r01_d200,1
1,CasualSquat_GPCC_OCTREE_r04_d200,2
1,ReadyForWinter_VPCC_raw_d200,4
1,BlueSpin_VPCC_raw_d200,4
1,CasualSquat_VPCC_r03_d200,2
1,ReadyForWinter_VPCC_r01_d200,1
1,FlowerDance_VPCC_r02_d200,1
1,BlueSpin_GPCC_OCTREE_r05_d200,3
1,CasualSquat_VPCC_r01_d200,1
1,CasualSquat_VPCC_r04_d200,2
1,CasualSquat_GPCC_OCTREE_r03_d200,1
1,FlowerDance_GPCC_OCTREE_r05_d200,2
1,CasualSquat_GPCC_TRISOUP_r01_d200,1
1,CasualSquat_GPCC_OCTREE_r05_d200,3
1,ReadyForWinter_VPCC_r02_d200,2
1,FlowerDance_GPCC_TRISOUP_r04_d200,3
1,ReadyForWinter_GPCC_TRISOUP_r02_d200,1
1,BlueSpin_GPCC_OCTREE_r03_d200,1
1,CasualSquat_VPCC_raw_d200,4
1,FlowerDance_GPCC_TRISOUP_r02_d200,2
1,ReadyForWinter_VPCC_r04_d200,3
1,CasualSquat_VPCC_r02_d200,2
1,FlowerDance_VPCC_r04_d200,3
2,CasualSquat_VPCC_r03_d200,3
2,ReadyForWinter_VPCC_r01_d200,2
2,ReadyForWinter_GPCC_TRISOUP_r04_d200,4
2,CasualSquat_VPCC_r02_d200,3
2,CasualSquat_VPCC_raw_d200,5
2,CasualSquat_VPCC_r05_d200,4
2,BlueSpin_GPCC_OCTREE_r05_d200,4
2,FlowerDance_VPCC_raw_d200,5
2,FlowerDance_GPCC_TRISOUP_r01_d200,2
2,FlowerDance_GPCC_OCTREE_r04_d200,2
2,BlueSpin_VPCC_r04_d200,4
2,ReadyForWinter_VPCC_r04_d200,4
